problem,problem_id,dsl,full_dsl,step,correct,output
79,50846271.json,"['vertical_line', 'pixel_color', 'pixel_color', 'vertical_line', 'horizontal_line', 'horizontal_line', 'vertical_line', 'vertical_line', 'pixel_color', 'pixel_color']","['vertical_line(self.temp_state, [(5, 6), (1, 6)], 8)', 'pixel_color([(9, 13)], 8)', 'pixel_color([(8, 12)], 8)', 'vertical_line(self.temp_state, [(8, 13), (5, 13)], 8)', 'horizontal_line(self.temp_state, [(8, 13), (8, 16)], 8)', 'horizontal_line(self.temp_state, [(14, 2), (14, 5)], 8)', 'vertical_line(self.temp_state, [(14, 5), (11, 5)], 8)', 'vertical_line(self.temp_state, [(16, 13), (13, 13)], 8)', 'pixel_color([(17, 13)], 8)', 'pixel_color([(18, 13)], 8)']",10,TRUE,"[[0, 5, 0, 5, 0, 0, 5, 5, 0, 5, 0, 0, 0, 5, 0, 5, 0, 0, 0, 5, 5, 0], [0, 5, 0, 5, 5, 0, 0, 0, 5, 5, 0, 0, 5, 5, 0, 0, 0, 0, 0, 5, 5, 5], [0, 0, 0, 0, 5, 5, 8, 0, 0, 0, 0, 5, 5, 0, 0, 5, 5, 0, 0, 5, 5, 5], [0, 0, 5, 5, 0, 5, 8, 5, 0, 5, 0, 5, 0, 5, 0, 5, 5, 0, 5, 5, 5, 0], [0, 5, 0, 5, 2, 2, 8, 2, 2, 5, 0, 0, 5, 0, 5, 5, 5, 0, 0, 5, 5, 0], [0, 0, 0, 5, 0, 5, 2, 5, 5, 5, 0, 5, 0, 0, 0, 0, 5, 5, 5, 5, 0, 0], [5, 5, 0, 0, 5, 5, 2, 0, 5, 5, 0, 0, 0, 8, 0, 0, 0, 5, 5, 5, 5, 5], [5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 5, 8, 0, 5, 0, 0, 5, 0, 5, 0], [5, 5, 5, 5, 5, 0, 0, 5, 5, 0, 5, 2, 8, 2, 8, 8, 0, 0, 5, 5, 5, 0], [0, 0, 0, 5, 5, 5, 0, 0, 5, 0, 0, 0, 5, 8, 0, 5, 5, 5, 0, 0, 0, 0], [0, 0, 0, 5, 5, 5, 0, 5, 0, 5, 0, 5, 5, 2, 5, 0, 5, 0, 0, 5, 5, 0], [0, 5, 5, 5, 0, 0, 0, 5, 5, 5, 5, 0, 0, 5, 0, 5, 5, 0, 0, 0, 5, 5], [5, 5, 0, 0, 5, 8, 5, 0, 0, 5, 5, 0, 5, 0, 5, 5, 0, 0, 5, 5, 0, 5], [0, 0, 5, 5, 5, 8, 5, 5, 5, 5, 0, 0, 5, 5, 5, 5, 5, 0, 0, 5, 0, 5], [5, 5, 0, 8, 8, 2, 2, 2, 5, 5, 5, 0, 5, 8, 5, 0, 5, 0, 0, 5, 5, 0], [5, 0, 0, 0, 5, 2, 5, 0, 5, 0, 5, 0, 5, 8, 5, 5, 0, 0, 0, 0, 5, 5], [5, 5, 5, 0, 0, 2, 0, 5, 5, 0, 0, 2, 2, 2, 2, 2, 5, 0, 5, 0, 5, 5], [5, 0, 5, 0, 0, 5, 0, 5, 0, 0, 0, 0, 0, 8, 0, 5, 5, 5, 0, 5, 5, 0], [5, 5, 5, 5, 5, 0, 5, 0, 5, 5, 5, 5, 0, 8, 0, 0, 5, 5, 0, 5, 0, 5]]"
80,508bd3b6.json,"['diagonal_line', 'diagonal_line', 'pixel_color', 'complete']","['diagonal_line(self.temp_state, [(5, 8), (1, 4)], 3)', 'diagonal_line(self.temp_state, [(4, 7), (11, 0)], 3)', 'pixel_color([(11, 0)], 3)', 'complete(self.temp_state)']",4,TRUE,"[[0, 0, 0, 8, 0, 0, 0, 0, 2, 2, 2, 2], [0, 0, 0, 0, 8, 0, 0, 0, 2, 2, 2, 2], [0, 0, 0, 0, 0, 3, 0, 0, 2, 2, 2, 2], [0, 0, 0, 0, 0, 0, 3, 0, 2, 2, 2, 2], [0, 0, 0, 0, 0, 0, 0, 3, 2, 2, 2, 2], [0, 0, 0, 0, 0, 0, 3, 0, 2, 2, 2, 2], [0, 0, 0, 0, 0, 3, 0, 0, 2, 2, 2, 2], [0, 0, 0, 0, 3, 0, 0, 0, 2, 2, 2, 2], [0, 0, 0, 3, 0, 0, 0, 0, 2, 2, 2, 2], [0, 0, 3, 0, 0, 0, 0, 0, 2, 2, 2, 2], [0, 3, 0, 0, 0, 0, 0, 0, 2, 2, 2, 2], [3, 0, 0, 0, 0, 0, 0, 0, 2, 2, 2, 2]]"
81,50cb2852.json,"['vertical_line', 'vertical_line', 'vertical_line', 'vertical_line', 'vertical_line', 'vertical_line', 'horizontal_line', 'horizontal_line', 'pixel_color', 'complete']","['vertical_line(self.temp_state, [(7, 10), (13, 10)], 8)', 'vertical_line(self.temp_state, [(13, 11), (7, 11)], 8)', 'vertical_line(self.temp_state, [(10, 6), (5, 6)], 8)', 'vertical_line(self.temp_state, [(10, 5), (5, 5)], 8)', 'vertical_line(self.temp_state, [(10, 4), (5, 4)], 8)', 'vertical_line(self.temp_state, [(10, 3), (5, 3)], 8)', 'horizontal_line(self.temp_state, [(1, 1), (1, 5)], 8)', 'horizontal_line(self.temp_state, [(2, 1), (2, 5)], 8)', 'pixel_color([(2, 9)], 8)', 'complete(self.temp_state)']",10,TRUE,"[[0, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0], [0, 1, 8, 8, 8, 1, 0, 0, 1, 1, 1, 0, 0], [0, 1, 8, 8, 8, 1, 0, 0, 1, 8, 1, 0, 0], [0, 1, 1, 1, 1, 1, 0, 0, 1, 1, 1, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 2, 2, 2, 2, 2, 2, 0, 0, 0, 0, 0], [0, 0, 2, 8, 8, 8, 8, 2, 0, 0, 0, 0, 0], [0, 0, 2, 8, 8, 8, 8, 2, 0, 3, 3, 3, 3], [0, 0, 2, 8, 8, 8, 8, 2, 0, 3, 8, 8, 3], [0, 0, 2, 8, 8, 8, 8, 2, 0, 3, 8, 8, 3], [0, 0, 2, 2, 2, 2, 2, 2, 0, 3, 8, 8, 3], [0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 8, 8, 3], [0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 8, 8, 3], [0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 3, 3, 3]]"
82,5168d44c.json,"['move_right', 'move_right', 'pixel_color', 'complete']","['move_right(self.temp_state, object1)', 'move_right(self.temp_state, object1)', 'pixel_color([(4, 8)], 3)', 'complete(self.temp_state)']",4,TRUE,"[[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 2, 0, 0, 0, 0, 0], [3, 0, 3, 0, 3, 0, 3, 0, 3, 2, 3, 2, 3, 0, 3, 0, 3], [0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 2, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]]"
84,54d82841.json,"['pixel_color', 'pixel_color', 'pixel_color', 'complete']","['pixel_color([(6, 2)], 4)', 'pixel_color([(6, 6)], 4)', 'pixel_color([(6, 9)], 4)', 'complete(self.temp_state)']",4,TRUE,"[[0, 5, 5, 5, 0, 0, 0, 0, 0, 0, 0], [0, 5, 0, 5, 0, 8, 8, 8, 0, 0, 0], [0, 0, 0, 0, 0, 8, 0, 8, 3, 3, 3], [0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 3], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 4, 0, 0, 0, 4, 0, 0, 4, 0]]"
87,5582e5ca.json,"['obj_color', 'pixel_color', 'complete']","['obj_color(self.temp_state, object1, 8)', 'pixel_color([(2, 2)], 8)', 'complete(self.temp_state)']",3,TRUE,"[[8, 8, 8], [8, 8, 8], [8, 8, 8]]"
88,56dc2b01.json,"['move_left', 'move_left', 'move_left', 'move_left', 'move_left', 'move_left', 'vertical_line', 'pixel_color', 'pixel_color', 'complete']","['move_left(self.temp_state, object2)', 'move_left(self.temp_state, object2)', 'move_left(self.temp_state, object2)', 'move_left(self.temp_state, object2)', 'move_left(self.temp_state, object2)', 'move_left(self.temp_state, object2)', 'vertical_line(self.temp_state, [(0, 8), (3, 8)], 8)', 'pixel_color([(0, 8)], 8)', 'pixel_color([(3, 8)], 8)', 'complete(self.temp_state)']",10,TRUE,"[[0, 0, 0, 0, 2, 0, 3, 3, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 2, 3, 0, 3, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 2, 3, 3, 3, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 2, 3, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0]]"
89,56ff96f3.json,"['horizontal_line', 'pixel_color', 'pixel_color', 'horizontal_line', 'horizontal_line', 'horizontal_line', 'horizontal_line', 'complete']","['horizontal_line(self.temp_state, [(0, 0), (0, 3)], 8)', 'pixel_color([(1, 0)], 8)', 'pixel_color([(1, 1)], 8)', 'horizontal_line(self.temp_state, [(4, 0), (4, 6)], 6)', 'horizontal_line(self.temp_state, [(5, 0), (5, 6)], 6)', 'horizontal_line(self.temp_state, [(6, 0), (6, 6)], 6)', 'horizontal_line(self.temp_state, [(7, 0), (7, 6)], 6)', 'complete(self.temp_state)']",8,TRUE,"[[8, 8, 8, 0, 0, 0, 0, 0], [8, 8, 8, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 6, 6, 6, 6, 6, 0, 0], [0, 6, 6, 6, 6, 6, 0, 0], [0, 6, 6, 6, 6, 6, 0, 0], [0, 6, 6, 6, 6, 6, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0]]"
91,5c0a986e.json,"['diagonal_line', 'pixel_color', 'diagonal_line', 'pixel_color', 'complete']","['diagonal_line(self.temp_state, [(3, 6), (0, 3)], 1)', 'pixel_color([(0, 3)], 1)', 'diagonal_line(self.temp_state, [(6, 3), (9, 6)], 2)', 'pixel_color([(9, 6)], 2)', 'complete(self.temp_state)']",5,TRUE,"[[0, 0, 0, 1, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 1, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 1, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 1, 1, 0, 0], [0, 0, 0, 0, 0, 0, 1, 1, 0, 0], [0, 0, 2, 2, 0, 0, 0, 0, 0, 0], [0, 0, 2, 2, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 2, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 2, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 2, 0, 0, 0]]"
93,60b61512.json,"['horizontal_line', 'diagonal_line', 'pixel_color', 'horizontal_line', 'pixel_color', 'pixel_color', 'complete']","['horizontal_line(self.temp_state, [(1, 1), (1, 4)], 7)', 'diagonal_line(self.temp_state, [(1, 5), (4, 2)], 7)', 'pixel_color([(3, 4)], 7)', 'horizontal_line(self.temp_state, [(6, 5), (6, 8)], 7)', 'pixel_color([(8, 7)], 7)', 'pixel_color([(8, 5)], 7)', 'complete(self.temp_state)']",7,TRUE,"[[0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 7, 7, 4, 0, 0, 0, 0], [0, 0, 4, 4, 7, 0, 0, 0, 0], [0, 0, 4, 7, 7, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 4, 7, 7, 0], [0, 0, 0, 0, 0, 4, 4, 4, 0], [0, 0, 0, 0, 0, 7, 4, 7, 0]]"
94,6150a2bd.json,"['rotate_right', 'rotate_right', 'complete']","['rotate_right_state(temp_state)', 'rotate_right_state(temp_state)', 'complete(self.temp_state)']",3,TRUE,"[[0, 0, 4], [0, 8, 6], [5, 3, 6]]"
95,623ea044.json,"['x_line', 'complete']","['X_line(self.temp_state, [(7, 12)], 6)', 'complete(self.temp_state)']",2,TRUE,"[[0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 6], [0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 6, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 6, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 6, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 6, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 6, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 6, 0], [0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 6], [0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]]"
96,63613498.json,"['obj_color', 'complete']","['obj_color(self.temp_state, object7, 5)', 'complete(self.temp_state)']",2,TRUE,"[[0, 0, 0, 5, 0, 0, 0, 6, 0, 0], [2, 2, 2, 5, 0, 0, 0, 6, 6, 0], [0, 0, 2, 5, 0, 0, 0, 6, 0, 0], [5, 5, 5, 5, 0, 3, 0, 0, 0, 0], [0, 0, 0, 0, 0, 3, 0, 0, 0, 0], [0, 0, 0, 0, 0, 3, 3, 0, 0, 0], [8, 8, 8, 0, 0, 0, 0, 0, 4, 0], [8, 0, 0, 0, 0, 0, 0, 0, 4, 0], [0, 0, 0, 0, 5, 5, 5, 0, 4, 0], [0, 0, 0, 0, 0, 0, 5, 0, 0, 0]]"
98,67385a82.json,"['obj_color', 'obj_color', 'complete']","['obj_color(self.temp_state, object1, 8)', 'obj_color(self.temp_state, object4, 8)', 'complete(self.temp_state)']",3,TRUE,"[[8, 0, 8, 0, 3], [8, 8, 8, 0, 0], [0, 0, 0, 0, 3], [0, 8, 8, 0, 0], [0, 8, 8, 0, 0]]"
99,673ef223.json,"['horizontal_line', 'horizontal_line', 'horizontal_line', 'obj_color', 'obj_color', 'horizontal_line', 'horizontal_line', 'horizontal_line', 'vertical_line', 'pixel_color']","['horizontal_line(self.temp_state, [(5, 4), (5, 0)], 8)', 'horizontal_line(self.temp_state, [(3, 7), (3, 0)], 8)', 'horizontal_line(self.temp_state, [(2, 8), (2, 0)], 8)', 'obj_color(self.temp_state, object3, 4)', 'obj_color(self.temp_state, object2, 4)', 'horizontal_line(self.temp_state, [(15, 11), (15, 0)], 8)', 'horizontal_line(self.temp_state, [(16, 11), (16, 0)], 8)', 'horizontal_line(self.temp_state, [(18, 11), (18, 0)], 8)', 'vertical_line(self.temp_state, [(17, 0), (14, 0)], 8)', 'pixel_color([(18, 0)], 8)']",10,TRUE,"[[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [2, 8, 8, 8, 8, 8, 8, 8, 4, 0, 0, 0], [2, 8, 8, 8, 8, 8, 8, 4, 0, 0, 0, 0], [2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [2, 8, 8, 8, 4, 0, 0, 0, 0, 0, 0, 0], [2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2], [8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 2], [8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 2], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2], [8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 2], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]]"
100,67a3c6ac.json,"['flip_horizontal', 'complete']","['horizontal_flip(temp_state)', 'complete(self.temp_state)']",2,TRUE,"[[1, 6, 7], [6, 7, 6], [2, 2, 6]]"
101,67a423a3.json,"['vertical_line', 'vertical_line', 'pixel_color', 'pixel_color', 'complete']","['vertical_line(self.temp_state, [(4, 7), (8, 7)], 4)', 'vertical_line(self.temp_state, [(8, 9), (4, 9)], 4)', 'pixel_color([(7, 8)], 4)', 'pixel_color([(5, 8)], 4)', 'complete(self.temp_state)']",5,TRUE,"[[0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 4, 4, 4, 0, 0], [3, 3, 3, 3, 3, 3, 3, 4, 5, 4, 3, 3], [0, 0, 0, 0, 0, 0, 0, 4, 4, 4, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0]]"
102,6855a6e4.json,"['horizontal_line', 'pixel_color', 'horizontal_line', 'obj_color', 'obj_color', 'horizontal_line', 'horizontal_line', 'complete']","['horizontal_line(self.temp_state, [(8, 3), (8, 9)], 5)', 'pixel_color([(9, 6)], 5)', 'horizontal_line(self.temp_state, [(6, 4), (6, 8)], 5)', 'obj_color(self.temp_state, object1, 0)', 'obj_color(self.temp_state, object4, 0)', 'horizontal_line(self.temp_state, [(5, 3), (5, 6)], 5)', 'horizontal_line(self.temp_state, [(5, 6), (5, 9)], 5)', 'complete(self.temp_state)']",8,TRUE,"[[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 2, 2, 2, 2, 2, 2, 2, 0, 0, 0, 0, 0], [0, 0, 0, 2, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0], [0, 0, 0, 0, 5, 5, 0, 5, 5, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 5, 5, 5, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 5, 5, 5, 5, 5, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 2, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0], [0, 0, 0, 2, 2, 2, 2, 2, 2, 2, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]]"
103,68b16354.json,"['flip_vertical', 'complete']","['vertical_flip(temp_state)', 'complete(self.temp_state)']",2,TRUE,"[[1, 4, 7, 1, 2, 3, 4], [3, 2, 8, 4, 1, 8, 4], [4, 1, 1, 1, 7, 8, 4], [1, 1, 2, 3, 8, 1, 3], [1, 1, 1, 1, 4, 7, 3], [4, 4, 1, 1, 4, 3, 4], [2, 8, 1, 3, 2, 4, 1]]"
104,694f12f3.json,"['horizontal_line', 'horizontal_line', 'horizontal_line', 'horizontal_line', 'horizontal_line', 'complete']","['horizontal_line(self.temp_state, [(1, 0), (1, 5)], 2)', 'horizontal_line(self.temp_state, [(2, 0), (2, 5)], 2)', 'horizontal_line(self.temp_state, [(3, 5), (3, 0)], 2)', 'horizontal_line(self.temp_state, [(4, 0), (4, 5)], 2)', 'horizontal_line(self.temp_state, [(8, 4), (8, 9)], 1)', 'complete(self.temp_state)']",6,TRUE,"[[4, 4, 4, 4, 4, 4, 0, 0, 0, 0], [4, 2, 2, 2, 2, 4, 0, 0, 0, 0], [4, 2, 2, 2, 2, 4, 0, 0, 0, 0], [4, 2, 2, 2, 2, 4, 0, 0, 0, 0], [4, 2, 2, 2, 2, 4, 0, 0, 0, 0], [4, 4, 4, 4, 4, 4, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 4, 4, 4, 4, 4, 4], [0, 0, 0, 0, 4, 1, 1, 1, 1, 4], [0, 0, 0, 0, 4, 4, 4, 4, 4, 4]]"
107,6c434453.json,"['obj_color', 'horizontal_line', 'vertical_line', 'obj_color', 'horizontal_line', 'vertical_line', 'pixel_color', 'complete']","['obj_color(self.temp_state, object2, 0)', 'horizontal_line(self.temp_state, [(3, 0), (3, 4)], 2)', 'vertical_line(self.temp_state, [(1, 2), (5, 2)], 2)', 'obj_color(self.temp_state, object4, 0)', 'horizontal_line(self.temp_state, [(8, 0), (8, 4)], 2)', 'vertical_line(self.temp_state, [(6, 2), (9, 2)], 2)', 'pixel_color([(9, 2)], 2)', 'complete(self.temp_state)']",8,TRUE,"[[0, 0, 0, 0, 0, 0, 0, 0, 1, 0], [0, 0, 0, 0, 0, 0, 0, 1, 1, 1], [0, 0, 2, 0, 0, 0, 0, 0, 1, 0], [0, 2, 2, 2, 0, 0, 0, 0, 0, 0], [0, 0, 2, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 1, 1, 0, 0], [0, 0, 2, 0, 0, 0, 0, 0, 0, 0], [0, 2, 2, 2, 0, 0, 0, 0, 1, 1], [0, 0, 2, 0, 0, 0, 0, 0, 1, 1]]"
109,6cf79266.json,"['horizontal_line', 'horizontal_line', 'horizontal_line', 'horizontal_line', 'horizontal_line', 'horizontal_line', 'horizontal_line', 'horizontal_line', 'horizontal_line', 'complete']","['horizontal_line(self.temp_state, [(6, 3), (6, 7)], 1)', 'horizontal_line(self.temp_state, [(7, 3), (7, 7)], 1)', 'horizontal_line(self.temp_state, [(8, 3), (8, 7)], 1)', 'horizontal_line(self.temp_state, [(17, 1), (17, 5)], 1)', 'horizontal_line(self.temp_state, [(18, 1), (18, 5)], 1)', 'horizontal_line(self.temp_state, [(19, 1), (19, 5)], 1)', 'horizontal_line(self.temp_state, [(16, 13), (16, 17)], 1)', 'horizontal_line(self.temp_state, [(17, 13), (17, 17)], 1)', 'horizontal_line(self.temp_state, [(18, 13), (18, 17)], 1)', 'complete(self.temp_state)']",10,TRUE,"[[0, 4, 0, 4, 4, 0, 4, 4, 4, 0, 0, 0, 4, 0, 4, 4, 4, 4, 4, 0], [0, 0, 4, 4, 0, 0, 4, 0, 4, 4, 0, 0, 0, 0, 4, 4, 4, 4, 4, 0], [4, 4, 4, 0, 0, 4, 0, 4, 0, 4, 0, 4, 4, 4, 4, 4, 4, 0, 4, 0], [4, 4, 0, 4, 0, 0, 4, 0, 0, 0, 0, 0, 0, 4, 4, 4, 0, 4, 0, 0], [4, 0, 0, 4, 4, 0, 4, 4, 4, 4, 4, 4, 4, 0, 4, 4, 0, 4, 0, 4], [4, 4, 0, 0, 4, 0, 0, 4, 4, 4, 4, 4, 4, 0, 0, 4, 4, 0, 4, 0], [0, 0, 0, 4, 1, 1, 1, 0, 4, 4, 4, 4, 4, 0, 4, 0, 4, 4, 0, 4], [4, 0, 4, 4, 1, 1, 1, 4, 4, 0, 0, 0, 0, 4, 4, 0, 0, 0, 0, 0], [0, 4, 4, 4, 1, 1, 1, 4, 4, 4, 0, 0, 4, 0, 4, 4, 4, 0, 0, 0], [4, 0, 0, 0, 4, 4, 0, 0, 4, 0, 0, 4, 0, 4, 4, 4, 0, 4, 0, 4], [0, 0, 0, 4, 0, 4, 0, 4, 4, 4, 0, 0, 4, 0, 4, 4, 4, 0, 4, 4], [0, 4, 4, 0, 0, 4, 4, 4, 4, 0, 0, 0, 4, 4, 4, 4, 4, 0, 4, 0], [0, 0, 4, 0, 0, 4, 0, 0, 4, 0, 0, 4, 0, 4, 4, 0, 0, 0, 4, 4], [4, 0, 4, 4, 0, 4, 0, 0, 4, 4, 4, 0, 0, 0, 0, 4, 4, 4, 0, 0], [0, 4, 4, 4, 4, 0, 0, 4, 0, 4, 0, 0, 4, 4, 0, 4, 4, 4, 4, 4], [4, 0, 0, 4, 4, 0, 4, 0, 4, 0, 0, 4, 0, 4, 0, 4, 0, 4, 0, 0], [4, 4, 0, 4, 0, 4, 0, 4, 4, 0, 0, 4, 4, 4, 1, 1, 1, 0, 4, 4], [4, 0, 1, 1, 1, 4, 4, 0, 4, 4, 0, 4, 0, 4, 1, 1, 1, 4, 4, 4], [0, 0, 1, 1, 1, 4, 4, 4, 4, 0, 4, 0, 0, 4, 1, 1, 1, 0, 0, 0], [4, 4, 1, 1, 1, 0, 0, 4, 4, 0, 0, 0, 4, 0, 4, 0, 4, 0, 4, 4]]"
